graduation_requirement_id,concentration_id,course_id,requirement_type_id,semester,credit_hour
1,84,ENG 131,1,1,3
2,84,ENG 132,1,2,3
3,84,MATH 136,1,1,3
4,84,CHEM 131,1,1,3
5,84,BIOL 143,1,1,3
6,84,CHEM 132,1,2,3
7,84,GEOL 141,1,2,3
8,84,ENG 230,1,3,3
9,84,ENG 231,1,3,3
10,84,ENG 235,1,3,3
11,84,ENG 244,1,3,3
12,84,MUSI 131,1,1,3
13,84,MUSI 136,1,1,3
14,84,MUSI 239,1,1,3
15,84,THEA 130,1,1,3
16,84,ART 135,1,1,3
17,84,ART 137,1,1,3
18,84,HIST 231,1,3,3
19,84,HIST 232,1,4,3
20,84,POLS 235,1,3,3
21,84,POLS 236,1,4,3
22,84,PSY 131,1,2,3
23,84,SOC 157,1,2,3
24,84,SOC 158,1,2,3
25,84,SOC 221,1,2,3
26,84,SOC 238,1,2,3
27,84,ECON 231,1,2,3
28,84,ECON 232,1,2,3
29,84,HIST 281,1,1,3
30,84,SC 135,1,1,3
31,84,SC 136,1,1,3
32,84,CS 116,1,3,3
33,84,MATH 241,2,2,4
34,84,MATH 242,2,3,4
35,84,MATH 243,2,4,4
36,84,MATH 250,2,5,3
37,84,MATH 251,2,6,3
38,84,MATH 331,2,5,3
39,84,MATH 336,2,6,3
40,84,MATH 439,2,8,3
41,84,MATH 473,2,7,3
42,84,CS 117,3,4,3
43,84,HED 233,3,2,2
44,84,PHYS 217,3,5,1
45,84,PHYS 251,3,5,3
46,84,PHYS 218,3,6,1
47,84,PHYS 252,3,6,3
48,74,ENG 131,1,1,3
49,74,ENG 132,1,2,3
50,74,MATH 136,1,1,3
51,74,CHEM 131,1,1,3
52,74,BIOL 143,1,1,3
53,74,PHYS 237,1,3,3
54,74,ENG 230,1,3,3
55,74,ENG 231,1,3,3
56,74,ENG 235,1,3,3
57,74,ENG 244,1,3,3
58,74,MUSI 131,1,1,3
59,74,ART 131,1,1,3
60,74,HIST 231,1,5,3
61,74,HIST 232,1,6,3
62,74,POLS 235,1,5,3
63,74,POLS 236,1,6,3
64,74,ECON 231,1,6,3
65,74,SC 135,1,2,3
66,74,SC 136,1,2,3
67,74,CS 120,1,1,3
68,74,CS 124,2,2,3
69,74,CS 140,2,2,3
70,74,CS 241,2,3,3
71,74,CS 243,2,3,3
72,74,CS 246,2,4,3
73,74,CS 248,2,4,3
74,74,CS 250,2,4,3
75,74,CS 342,2,5,3
76,74,CS 343,2,5,3
77,74,CS 346,2,6,3
78,74,CS 415,2,7,3
79,74,CS 444,2,7,3
80,74,CS 456,2,8,3
81,74,CS 499,2,8,3
82,74,MATH 241,3,2,4
83,74,MATH 242,3,3,4
84,74,MATH 250,3,4,3
85,74,MATH 473,3,7,3
86,74,PHYS 213,3,3,1
87,74,PHYS 214,3,4,1
88,74,PHYS 238,3,4,3
89,65,ENG 131,1,1,3
90,65,ENG 132,1,2,3
91,65,MATH 133,1,1,3
92,65,CHEM 131,1,1,3
93,65,CHEM 132,1,2,3
94,65,ENG 230,1,3,3
95,65,ENG 231,1,3,3
96,65,ENG 235,1,3,3
97,65,ENG 244,1,3,3
98,65,THEA 130,1,3,3
99,65,MUSI 131,1,3,3
100,65,MUSI 239,1,3,3
101,65,ART 135,1,3,3
102,65,ART 131,1,3,3
103,65,HIST 231,1,2,3
104,65,HIST 232,1,3,3
105,65,POLS 235,1,3,3
106,65,POLS 236,1,4,3
107,65,PSY 131,1,1,3
108,65,ECON 231,1,1,3
109,65,ECON 232,1,1,3
110,65,SOC 157,1,1,3
111,65,SOC 158,1,1,3
112,65,SOC 221,1,1,3
113,65,SOC 238,1,1,3
114,65,SC 135,1,4,3
115,65,SC 136,1,4,3
116,65,CS 116,1,2,3
117,65,HSHA 211,2,3,3
118,65,HSHA 262,2,4,3
119,65,HSHA 312,2,5,3
120,65,HSHA 313,2,5,3
121,65,HSHA 314,2,6,3
122,65,HSHA 361,2,6,3
123,65,HSHA 363,2,6,3
124,65,HSHA 411,2,8,6
125,65,HSHA 412,2,7,3
126,65,HSHA 413,2,7,3
127,65,HSHA 414,2,7,3
128,65,HSHA 451,2,7,3
129,65,HSCR 150,3,1,3
130,65,HSCR 260,3,4,3
131,65,HSCR 300,3,4,1
132,65,HSCR 360,3,5,3
133,65,HSCR 361,3,6,3
134,65,MATH 134,3,2,3
135,65,PA 271,3,4,3
136,65,PA 301,3,5,3
137,65,PA 302,3,6,3
138,65,MATH 231,3,6,3
139,65,PSY 234,3,6,3
140,65,PA 311,3,5,3
141,65,PA 312,3,6,3
142,65,PA 313,3,6,3
143,65,PA 321,3,7,3
144,75,ENG 131,1,1,3
145,75,ENG 132,1,2,3
146,75,MATH 136,1,1,3
147,75,CHEM 131,1,1,3
148,75,BIOL 143,1,1,3
149,75,PHYS 237,1,3,3
150,75,ENG 230,1,6,3
151,75,ENG 231,1,6,3
152,75,ENG 235,1,6,3
153,75,ENG 244,1,6,3
154,75,MUSI 131,1,1,3
155,75,ART 131,1,1,3
156,75,HIST 231,1,5,3
157,75,HIST 232,1,6,3
158,75,POLS 235,1,5,3
159,75,POLS 236,1,6,3
160,75,ECON 231,1,7,3
161,75,SC 135,1,2,3
162,75,SC 136,1,2,3
163,75,CS 120,1,1,3
164,75,CS 124,2,2,3
165,75,CS 140,2,2,3
166,75,CS 241,2,3,3
167,75,CS 243,2,3,3
168,75,CS 246,2,4,3
169,75,CS 248,2,4,3
170,75,CS 250,2,3,3
171,75,CS 251,2,4,3
172,75,CS 342,2,5,3
173,75,CS 343,2,6,3
174,75,CS 346,2,5,3
175,75,CS 350,2,5,3
176,75,CS 351,2,6,3
177,75,CS 415,2,7,3
178,75,CS 444,2,8,3
179,75,CS 450,2,7,3
180,75,CS 451,2,8,3
181,75,CS 456,2,8,3
182,75,CS 499,2,8,3
183,75,MATH 241,3,2,4
184,75,MATH 242,3,3,4
185,75,MATH 250,3,4,3
186,75,MATH 473,3,7,3
187,75,PHYS 213,3,3,1
188,75,PHYS 214,3,4,1
189,75,PHYS 238,3,4,3
190,76,ENG 131,1,1,3
191,76,ENG 132,1,2,3
192,76,MATH 241,1,1,3
193,76,PHYS 251,1,3,3
194,76,ENG 230,1,3,3
195,76,ENG 231,1,3,3
196,76,ENG 235,1,3,3
197,76,ENG 244,1,3,3
198,76,MUSI 239,1,2,3
199,76,HIST 231,1,6,3
200,76,HIST 232,1,7,3
201,76,POLS 235,1,5,3
202,76,POLS 236,1,6,3
203,76,ECON 231,1,7,3
204,76,SC 135,1,7,3
205,76,SC 136,1,7,3
206,76,ENGR 131,1,2,3
207,76,CIVE 110,2,1,1
208,76,CIVE 141,2,1,3
209,76,CIVE 141L,2,1,1
210,76,CIVE 223,2,2,3
211,76,CIVE 224,2,4,3
212,76,CIVE 224L,2,4,1
213,76,CIVE 231,2,3,3
214,76,CIVE 232,2,3,3
215,76,CIVE 233,2,4,3
216,76,CIVE 301,2,5,3
217,76,CIVE 301L,2,5,1
218,76,CIVE 332,2,5,3
219,76,CIVE 333,2,6,3
220,76,CIVE 334,2,5,3
221,76,CIVE 336,2,5,3
222,76,CIVE 338,2,6,3
223,76,CIVE 339,2,7,3
224,76,CIVE 340,2,7,3
225,76,CIVE 430,2,8,6
226,76,CIVE 434,2,6,3
227,76,CHEM 111,3,1,1
228,76,ENGR 310,3,6,1
229,76,MATH 242,3,2,4
230,76,MATH 243,3,3,4
231,76,MATH 251,3,4,3
232,76,MATH 345,3,4,3
233,76,PHYS 217,3,3,1
234,76,PHYS 218,3,4,1
235,76,PHYS 252,3,4,3
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
